# 8;8/23/2014 9:00:00,Ängby IF Röd 1 - Stockholms Internationella IK
8;8/24/2014 17:00:00,Spånga IS FK 2 - Ängby IF Röd 2	
9;8/31/2014 15:00:00,AIK FF 10 - Ängby IF Röd 1
10;9/7/2014 11:00:00,Ängby IF Röd 1 - Vasalunds Stockholm IF 1
10;9/7/2014 14:00:00,Vasalunds IF 3 - Ängby IF Röd 2
11;9/13/2014 13:00:00,IF Brommapojkarna 16 - Ängby IF Röd 1
11;9/14/2014 11:00:00,Ängby IF Röd 2 - IF Brommapojkarna 22	
12;9/21/2014 11:00:00,Ängby IF Röd 1 - Ekerö IK Gul 2
12;9/20/2014 10:00:00,Sundbybergs IK Duvbo 1 - Ängby IF Röd 2	
13;9/27/2014 9:00:00,Ängby IF Röd 1 - Skå IK & Bygdegård 2
13;9/27/2014 10:00:00,Ängby IF Röd 2 - AIK FF 12
